"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Apr 27 05:55:26 UTC 2024","Sat Apr 27 05:55:26 UTC 2024","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"skipped","Sat Apr 27 06:18:22 UTC 2024","Sat Apr 27 06:18:22 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Sat Apr 27 05:57:35 UTC 2024","Sat Apr 27 05:57:50 UTC 2024","15789","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Sat Apr 27 06:00:02 UTC 2024","Sat Apr 27 06:00:03 UTC 2024","1387","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sat Apr 27 06:48:28 UTC 2024","Sat Apr 27 06:48:33 UTC 2024","4289","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"failed","Sat Apr 27 06:22:14 UTC 2024","Sat Apr 27 06:22:32 UTC 2024","18496","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"skipped","Sat Apr 27 05:55:26 UTC 2024","Sat Apr 27 05:55:26 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"skipped","Sat Apr 27 06:18:22 UTC 2024","Sat Apr 27 06:18:22 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Sat Apr 27 05:57:52 UTC 2024","Sat Apr 27 05:57:52 UTC 2024","233","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Sat Apr 27 06:35:55 UTC 2024","Sat Apr 27 06:36:06 UTC 2024","10246","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Sat Apr 27 05:57:50 UTC 2024","Sat Apr 27 05:57:52 UTC 2024","1663","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Sat Apr 27 06:36:07 UTC 2024","Sat Apr 27 06:36:19 UTC 2024","11435","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Sat Apr 27 06:35:42 UTC 2024","Sat Apr 27 06:35:45 UTC 2024","2899","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"skipped","Sat Apr 27 06:18:22 UTC 2024","Sat Apr 27 06:18:22 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sat Apr 27 06:48:26 UTC 2024","Sat Apr 27 06:48:28 UTC 2024","2380","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"broken","Sat Apr 27 08:19:06 UTC 2024","Sat Apr 27 08:19:06 UTC 2024","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"skipped","Sat Apr 27 05:55:26 UTC 2024","Sat Apr 27 05:55:26 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Sat Apr 27 05:57:52 UTC 2024","Sat Apr 27 05:58:11 UTC 2024","18317","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Sat Apr 27 07:22:15 UTC 2024","Sat Apr 27 07:22:22 UTC 2024","6810","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sat Apr 27 05:37:29 UTC 2024","Sat Apr 27 05:38:34 UTC 2024","64457","","8. Sign Up new user","","","","1. Create a new user",""
"skipped","Sat Apr 27 05:55:26 UTC 2024","Sat Apr 27 05:55:26 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sat Apr 27 05:59:56 UTC 2024","Sat Apr 27 05:59:57 UTC 2024","1463","","12. Client Portal - Forms","","","","2. Check Form Page",""
"skipped","Sat Apr 27 08:19:06 UTC 2024","Sat Apr 27 08:19:06 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Sat Apr 27 05:59:57 UTC 2024","Sat Apr 27 06:00:02 UTC 2024","4843","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Sat Apr 27 06:35:48 UTC 2024","Sat Apr 27 06:35:51 UTC 2024","2387","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"skipped","Sat Apr 27 08:19:06 UTC 2024","Sat Apr 27 08:19:06 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"skipped","Sat Apr 27 05:55:26 UTC 2024","Sat Apr 27 05:55:26 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sat Apr 27 05:59:43 UTC 2024","Sat Apr 27 05:59:56 UTC 2024","12612","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sat Apr 27 06:35:45 UTC 2024","Sat Apr 27 06:35:48 UTC 2024","2951","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sat Apr 27 06:41:23 UTC 2024","Sat Apr 27 06:41:38 UTC 2024","14986","","18. Check Admin header","","","","1. Log in using manager login",""
"skipped","Sat Apr 27 05:55:26 UTC 2024","Sat Apr 27 05:55:26 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"broken","Sat Apr 27 06:18:22 UTC 2024","Sat Apr 27 06:18:22 UTC 2024","2","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sat Apr 27 07:22:22 UTC 2024","Sat Apr 27 07:22:40 UTC 2024","18698","","21. Forgot password function","","","","2. Reset password",""
"passed","Sat Apr 27 06:35:32 UTC 2024","Sat Apr 27 06:35:42 UTC 2024","10277","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"failed","Sat Apr 27 06:36:28 UTC 2024","Sat Apr 27 06:39:01 UTC 2024","152186","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Sat Apr 27 06:41:38 UTC 2024","Sat Apr 27 06:45:43 UTC 2024","244967","","18. Check Admin header","","","","2. Check Navbar",""
"skipped","Sat Apr 27 06:18:22 UTC 2024","Sat Apr 27 06:18:22 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sat Apr 27 06:48:03 UTC 2024","Sat Apr 27 06:48:16 UTC 2024","13020","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sat Apr 27 06:48:16 UTC 2024","Sat Apr 27 06:48:26 UTC 2024","9548","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"skipped","Sat Apr 27 08:19:06 UTC 2024","Sat Apr 27 08:19:06 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sat Apr 27 05:40:08 UTC 2024","Sat Apr 27 05:40:25 UTC 2024","16105","","9. Client Portal - Home","","","","1. Check links",""
"skipped","Sat Apr 27 08:19:06 UTC 2024","Sat Apr 27 08:19:06 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"skipped","Sat Apr 27 06:18:22 UTC 2024","Sat Apr 27 06:18:22 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"skipped","Sat Apr 27 05:55:26 UTC 2024","Sat Apr 27 05:55:26 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sat Apr 27 06:35:51 UTC 2024","Sat Apr 27 06:35:55 UTC 2024","4682","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"skipped","Sat Apr 27 05:55:26 UTC 2024","Sat Apr 27 05:55:26 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sat Apr 27 06:36:06 UTC 2024","Sat Apr 27 06:36:07 UTC 2024","1452","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"skipped","Sat Apr 27 08:19:06 UTC 2024","Sat Apr 27 08:19:06 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Sat Apr 27 06:36:19 UTC 2024","Sat Apr 27 06:36:28 UTC 2024","9792","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
